27044843;Gab.Met.IP65 GE 2015  200x150x120 HxAxP;GE 2015-12;-;NO EXISTE SUBPANEL;0;-;NO EXISTE SUBPANEL;0;-;NO EXISTE SUBPANEL;0;-;NO EXISTE SUBPANEL;0
27044844;Gab.Met.IP65 GE 2520  250x200x120 HxAxP;GE 2520-12;-;NO EXISTE SUBPANEL;0;-;NO EXISTE SUBPANEL;0;-;NO EXISTE SUBPANEL;0;-;NO EXISTE SUBPANEL;0
27044845;Gab.Met.IP65 GE 2520  250x200x160 HxAxP;GE 2520-16;-;NO EXISTE SUBPANEL;0;-;NO EXISTE SUBPANEL;0;-;NO EXISTE SUBPANEL;0;-;NO EXISTE SUBPANEL;0
27044846;Gab.Met.IP65 GE 3025  300x250x120 HxAxP;GE 3025-12;27046767;Gab.Acc. Subp.Abis.Ciego  p/GE   3025;CTAE 3025;27040092;Gab.Acc. Herrajes p/Subp.Abis. Prof.12 x4u.;H 12;27040076;Gab.Acc. Sop.Reg.p/Riel  37- 53mm x10u.;PIE N 0;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044847;Gab.Met.IP65 GE 3025  300x250x160 HxAxP;GE 3025-16;27046767;Gab.Acc. Subp.Abis.Ciego  p/GE   3025;CTAE 3025;27040093;Gab.Acc. Herrajes p/Subp.Abis. Prof.16 x4u.;H 16;27040077;Gab.Acc. Sop.Reg.p/Riel  79-106mm x10u.;PIE N 1;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044848;Gab.Met.IP65 GE 3030  300x300x120 HxAxP;GE 3030-12;27046768;Gab.Acc. Subp.Abis.Ciego  p/GE   3030;CTAE 3030;27040092;Gab.Acc. Herrajes p/Subp.Abis. Prof.12 x4u.;H 12;27040076;Gab.Acc. Sop.Reg.p/Riel  37- 53mm x10u.;PIE N 0;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044849;Gab.Met.IP65 GE 3030  300x300x160 HxAxP;GE 3030-16;27046768;Gab.Acc. Subp.Abis.Ciego  p/GE   3030;CTAE 3030;27040093;Gab.Acc. Herrajes p/Subp.Abis. Prof.16 x4u.;H 16;27040077;Gab.Acc. Sop.Reg.p/Riel  79-106mm x10u.;PIE N 1;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044850;Gab.Met.IP65 GE 3030  300x300x210 HxAxP;GE 3030-21;27046768;Gab.Acc. Subp.Abis.Ciego  p/GE   3030;CTAE 3030;27040094;Gab.Acc. Herrajes p/Subp.Abis. Prof.21 x4u.;H 21;27040096;Gab.Acc. Sop.Reg.p/Riel 103-159mm x10u.;PIE N 2;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044851;Gab.Met.IP65 GE 4030  400x300x120 HxAxP;GE 4030-12;27046769;Gab.Acc. Subp.Abis.Ciego  p/GE   4030;CTAE 4030;27040092;Gab.Acc. Herrajes p/Subp.Abis. Prof.12 x4u.;H 12;27040076;Gab.Acc. Sop.Reg.p/Riel  37- 53mm x10u.;PIE N 0;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044852;Gab.Met.IP65 GE 4030  400x300x160 HxAxP;GE 4030-16;27046769;Gab.Acc. Subp.Abis.Ciego  p/GE   4030;CTAE 4030;27040093;Gab.Acc. Herrajes p/Subp.Abis. Prof.16 x4u.;H 16;27040077;Gab.Acc. Sop.Reg.p/Riel  79-106mm x10u.;PIE N 1;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044853;Gab.Met.IP65 GE 4030  400x300x210 HxAxP;GE 4030-21;27046769;Gab.Acc. Subp.Abis.Ciego  p/GE   4030;CTAE 4030;27040094;Gab.Acc. Herrajes p/Subp.Abis. Prof.21 x4u.;H 21;27040096;Gab.Acc. Sop.Reg.p/Riel 103-159mm x10u.;PIE N 2;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044854;Gab.Met.IP65 GE 4030  400x300x260 HxAxP;GE 4030-26;27046769;Gab.Acc. Subp.Abis.Ciego  p/GE   4030;CTAE 4030;27040095;Gab.Acc. Herrajes p/Subp.Abis. Prof.26 x4u.;H 26;27040078;Gab.Acc. Sop.Reg.p/Riel 135-221mm x10u.;PIE N 3;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044855;Gab.Met.IP65 GE 4545  450x450x120 HxAxP;GE 4545-12;27046770;Gab.Acc. Subp.Abis.Ciego  p/GE   4545;CTAE 4545;27040092;Gab.Acc. Herrajes p/Subp.Abis. Prof.12 x4u.;H 12;27040076;Gab.Acc. Sop.Reg.p/Riel  37- 53mm x10u.;PIE N 0;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044856;Gab.Met.IP65 GE 4545  450x450x160 HxAxP;GE 4545-16;27046770;Gab.Acc. Subp.Abis.Ciego  p/GE   4545;CTAE 4545;27040093;Gab.Acc. Herrajes p/Subp.Abis. Prof.16 x4u.;H 16;27040077;Gab.Acc. Sop.Reg.p/Riel  79-106mm x10u.;PIE N 1;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044857;Gab.Met.IP65 GE 4545  450x450x210 HxAxP;GE 4545-21;27046770;Gab.Acc. Subp.Abis.Ciego  p/GE   4545;CTAE 4545;27040094;Gab.Acc. Herrajes p/Subp.Abis. Prof.21 x4u.;H 21;27040096;Gab.Acc. Sop.Reg.p/Riel 103-159mm x10u.;PIE N 2;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044858;Gab.Met.IP65 GE 4545  450x450x260 HxAxP;GE 4545-26;27046770;Gab.Acc. Subp.Abis.Ciego  p/GE   4545;CTAE 4545;27040095;Gab.Acc. Herrajes p/Subp.Abis. Prof.26 x4u.;H 26;27040078;Gab.Acc. Sop.Reg.p/Riel 135-221mm x10u.;PIE N 3;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044859;Gab.Met.IP65 GE 5040  500x400x120 HxAxP;GE 5040-12;27046771;Gab.Acc. Subp.Abis.Ciego  p/GE   5040;CTAE 5040;27040092;Gab.Acc. Herrajes p/Subp.Abis. Prof.12 x4u.;H 12;27040076;Gab.Acc. Sop.Reg.p/Riel  37- 53mm x10u.;PIE N 0;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044860;Gab.Met.IP65 GE 5040  500x400x160 HxAxP;GE 5040-16;27046771;Gab.Acc. Subp.Abis.Ciego  p/GE   5040;CTAE 5040;27040093;Gab.Acc. Herrajes p/Subp.Abis. Prof.16 x4u.;H 16;27040077;Gab.Acc. Sop.Reg.p/Riel  79-106mm x10u.;PIE N 1;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044861;Gab.Met.IP65 GE 5040  500x400x210 HxAxP;GE 5040-21;27046771;Gab.Acc. Subp.Abis.Ciego  p/GE   5040;CTAE 5040;27040094;Gab.Acc. Herrajes p/Subp.Abis. Prof.21 x4u.;H 21;27040096;Gab.Acc. Sop.Reg.p/Riel 103-159mm x10u.;PIE N 2;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044862;Gab.Met.IP65 GE 5040  500x400x260 HxAxP;GE 5040-26;27046771;Gab.Acc. Subp.Abis.Ciego  p/GE   5040;CTAE 5040;27040095;Gab.Acc. Herrajes p/Subp.Abis. Prof.26 x4u.;H 26;27040078;Gab.Acc. Sop.Reg.p/Riel 135-221mm x10u.;PIE N 3;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044863;Gab.Met.IP65 GE 6040  600x400x160 HxAxP;GE 6040-16;27046772;Gab.Acc. Subp.Abis.Ciego  p/GE   6040;CTAE 6040;27040093;Gab.Acc. Herrajes p/Subp.Abis. Prof.16 x4u.;H 16;27040077;Gab.Acc. Sop.Reg.p/Riel  79-106mm x10u.;PIE N 1;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044864;Gab.Met.IP65 GE 6040  600x400x210 HxAxP;GE 6040-21;27046772;Gab.Acc. Subp.Abis.Ciego  p/GE   6040;CTAE 6040;27040094;Gab.Acc. Herrajes p/Subp.Abis. Prof.21 x4u.;H 21;27040096;Gab.Acc. Sop.Reg.p/Riel 103-159mm x10u.;PIE N 2;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044865;Gab.Met.IP65 GE 6040  600x400x260 HxAxP;GE 6040-26;27046772;Gab.Acc. Subp.Abis.Ciego  p/GE   6040;CTAE 6040;27040095;Gab.Acc. Herrajes p/Subp.Abis. Prof.26 x4u.;H 26;27040078;Gab.Acc. Sop.Reg.p/Riel 135-221mm x10u.;PIE N 3;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044866;Gab.Met.IP65 GE 6050  600x500x160 HxAxP;GE 6050-16;27046773;Gab.Acc. Subp.Abis.Ciego  p/GE   6050;CTAE 6050;27040093;Gab.Acc. Herrajes p/Subp.Abis. Prof.16 x4u.;H 16;27040077;Gab.Acc. Sop.Reg.p/Riel  79-106mm x10u.;PIE N 1;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044867;Gab.Met.IP65 GE 6050  600x500x210 HxAxP;GE 6050-21;27046773;Gab.Acc. Subp.Abis.Ciego  p/GE   6050;CTAE 6050;27040094;Gab.Acc. Herrajes p/Subp.Abis. Prof.21 x4u.;H 21;27040096;Gab.Acc. Sop.Reg.p/Riel 103-159mm x10u.;PIE N 2;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044868;Gab.Met.IP65 GE 6050  600x500x260 HxAxP;GE 6050-26;27046773;Gab.Acc. Subp.Abis.Ciego  p/GE   6050;CTAE 6050;27040095;Gab.Acc. Herrajes p/Subp.Abis. Prof.26 x4u.;H 26;27040078;Gab.Acc. Sop.Reg.p/Riel 135-221mm x10u.;PIE N 3;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044869;Gab.Met.IP65 GE 6060  600x600x160 HxAxP;GE 6060-16;27046774;Gab.Acc. Subp.Abis.Ciego  p/GE   6060;CTAE 6060;27040093;Gab.Acc. Herrajes p/Subp.Abis. Prof.16 x4u.;H 16;27040077;Gab.Acc. Sop.Reg.p/Riel  79-106mm x10u.;PIE N 1;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044870;Gab.Met.IP65 GE 6060  600x600x210 HxAxP;GE 6060-21;27046774;Gab.Acc. Subp.Abis.Ciego  p/GE   6060;CTAE 6060;27040094;Gab.Acc. Herrajes p/Subp.Abis. Prof.21 x4u.;H 21;27040096;Gab.Acc. Sop.Reg.p/Riel 103-159mm x10u.;PIE N 2;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044871;Gab.Met.IP65 GE 6060  600x600x260 HxAxP;GE 6060-26;27046774;Gab.Acc. Subp.Abis.Ciego  p/GE   6060;CTAE 6060;27040095;Gab.Acc. Herrajes p/Subp.Abis. Prof.26 x4u.;H 26;27040078;Gab.Acc. Sop.Reg.p/Riel 135-221mm x10u.;PIE N 3;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044872;Gab.Met.IP65 GE 7060  700x600x210 HxAxP;GE 7060-21;27046775;Gab.Acc. Subp.Abis.Ciego  p/GE   7060;CTAE 7060;27040094;Gab.Acc. Herrajes p/Subp.Abis. Prof.21 x4u.;H 21;27040096;Gab.Acc. Sop.Reg.p/Riel 103-159mm x10u.;PIE N 2;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044873;Gab.Met.IP65 GE 7060  700x600x260 HxAxP;GE 7060-26;27046775;Gab.Acc. Subp.Abis.Ciego  p/GE   7060;CTAE 7060;27040095;Gab.Acc. Herrajes p/Subp.Abis. Prof.26 x4u.;H 26;27040078;Gab.Acc. Sop.Reg.p/Riel 135-221mm x10u.;PIE N 3;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044874;Gab.Met.IP65 GE 9060  900x600x210 HxAxP;GE 9060-21;27046776;Gab.Acc. Subp.Abis.Ciego  p/GE   9060;CTAE 9060;27040094;Gab.Acc. Herrajes p/Subp.Abis. Prof.21 x4u.;H 21;27040096;Gab.Acc. Sop.Reg.p/Riel 103-159mm x10u.;PIE N 2;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044875;Gab.Met.IP65 GE 9060  900x600x260 HxAxP;GE 9060-26;27046776;Gab.Acc. Subp.Abis.Ciego  p/GE   9060;CTAE 9060;27040095;Gab.Acc. Herrajes p/Subp.Abis. Prof.26 x4u.;H 26;27040078;Gab.Acc. Sop.Reg.p/Riel 135-221mm x10u.;PIE N 3;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044876;Gab.Met.IP65 GE12060 1200x600x210 HxAxP;GE 12060-21;27046766;Gab.Acc. Subp.Abis.Ciego  p/GE  12060;CTAE 12060;27040094;Gab.Acc. Herrajes p/Subp.Abis. Prof.21 x4u.;H 21;27040096;Gab.Acc. Sop.Reg.p/Riel 103-159mm x10u.;PIE N 2;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044877;Gab.Met.IP65 GE12060 1200x600x260 HxAxP;GE 12060-26;27046766;Gab.Acc. Subp.Abis.Ciego  p/GE  12060;CTAE 12060;27040095;Gab.Acc. Herrajes p/Subp.Abis. Prof.26 x4u.;H 26;27040078;Gab.Acc. Sop.Reg.p/Riel 135-221mm x10u.;PIE N 3;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044985;Gab.Met.IP65 GECLD    900x600x200 c/Duc.;GECLD 9060-20;27046762;Gab.Acc. Subp.Abis.Ciego  p/GECLD  9060;CTAECL 9060;-;Vienen Incluidos en el Subpanel;;27040096;Gab.Acc. Sop.Reg.p/Riel 103-159mm x10u.;PIE N 2;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044986;Gab.Met.IP65 GECLD    900x600x300 c/Duc.;GECLD 9060-30;27046762;Gab.Acc. Subp.Abis.Ciego  p/GECLD  9060;CTAECL 9060;-;Vienen Incluidos en el Subpanel;;27040078;Gab.Acc. Sop.Reg.p/Riel 135-221mm x10u.;PIE N 3;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044953;Gab.Met.IP65 GECLD    900x800x200 c/Duc.;GECLD 9080-20;27046763;Gab.Acc. Subp.Abis.Ciego  p/GECLD  9080;CTAECL 9080;-;Vienen Incluidos en el Subpanel;;27040096;Gab.Acc. Sop.Reg.p/Riel 103-159mm x10u.;PIE N 2;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044987;Gab.Met.IP65 GECLD    900x800x300 c/Duc.;GECLD 9080-30;27046763;Gab.Acc. Subp.Abis.Ciego  p/GECLD  9080;CTAECL 9080;-;Vienen Incluidos en el Subpanel;;27040078;Gab.Acc. Sop.Reg.p/Riel 135-221mm x10u.;PIE N 3;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044976;Gab.Met.IP65 GECLD   1200x600x200 c/Duc.;GECLD 12060-20;27046777;Gab.Acc. Subp.Abis.Ciego  p/GECLD 12060;CTAECL 12060;-;Vienen Incluidos en el Subpanel;;27040096;Gab.Acc. Sop.Reg.p/Riel 103-159mm x10u.;PIE N 2;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044977;Gab.Met.IP65 GECLD   1200x600x300 c/Duc.;GECLD 12060-30;27046777;Gab.Acc. Subp.Abis.Ciego  p/GECLD 12060;CTAECL 12060;-;Vienen Incluidos en el Subpanel;;27040078;Gab.Acc. Sop.Reg.p/Riel 135-221mm x10u.;PIE N 3;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044978;Gab.Met.IP65 GECLD   1200x800x200 c/Duc.;GECLD 12080-20;27046778;Gab.Acc. Subp.Abis.Ciego  p/GECLD 12080;CTAECL 12080;-;Vienen Incluidos en el Subpanel;;27040096;Gab.Acc. Sop.Reg.p/Riel 103-159mm x10u.;PIE N 2;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044979;Gab.Met.IP65 GECLD   1200x800x300 c/Duc.;GECLD 12080-30;27046778;Gab.Acc. Subp.Abis.Ciego  p/GECLD 12080;CTAECL 12080;-;Vienen Incluidos en el Subpanel;;27040078;Gab.Acc. Sop.Reg.p/Riel 135-221mm x10u.;PIE N 3;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044980;Gab.Met.IP65 GECLD   1500x600x200 c/Duc.;GECLD 15060-20;27046779;Gab.Acc. Subp.Abis.Ciego  p/GECLD 15060;CTAECL 15060;-;Vienen Incluidos en el Subpanel;;27040096;Gab.Acc. Sop.Reg.p/Riel 103-159mm x10u.;PIE N 2;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044981;Gab.Met.IP65 GECLD   1500x600x300 c/Duc.;GECLD 15060-30;27046779;Gab.Acc. Subp.Abis.Ciego  p/GECLD 15060;CTAECL 15060;-;Vienen Incluidos en el Subpanel;;27040078;Gab.Acc. Sop.Reg.p/Riel 135-221mm x10u.;PIE N 3;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044982;Gab.Met.IP65 GECLD   1500x800x200 c/Duc.;GECLD 15080-20;27046780;Gab.Acc. Subp.Abis.Ciego  p/GECLD 15080;CTAECL 15080;-;Vienen Incluidos en el Subpanel;;27040096;Gab.Acc. Sop.Reg.p/Riel 103-159mm x10u.;PIE N 2;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
27044983;Gab.Met.IP65 GECLD   1500x800x300 c/Duc.;GECLD 15080-30;27046780;Gab.Acc. Subp.Abis.Ciego  p/GECLD 15080;CTAECL 15080;-;Vienen Incluidos en el Subpanel;;27040078;Gab.Acc. Sop.Reg.p/Riel 135-221mm x10u.;PIE N 3;27040097;Gab.Acc. Soporte p/Riel DIN x1m.  x5u.;Larguero
